epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2483.34,1.88632,1.3354,1.86191,0.73707,0.63404,0.71668,0.37143,1.67195,1.24372,1.75523,0.0008912,0.0008912,0.0008912
58,2526.36,1.8959,1.34664,1.87271,0.73433,0.62431,0.69958,0.3657,1.69003,1.24748,1.7592,0.0008714,0.0008714,0.0008714
59,2569.99,1.88555,1.35946,1.89021,0.74812,0.64571,0.72245,0.39131,1.61481,1.19777,1.71814,0.0008516,0.0008516,0.0008516
60,2612.91,1.87818,1.3069,1.82902,0.73539,0.65424,0.7284,0.38472,1.65663,1.20365,1.73414,0.0008318,0.0008318,0.0008318
61,2656.43,1.86413,1.30264,1.81624,0.7472,0.65649,0.73159,0.37794,1.6979,1.23507,1.76325,0.000812,0.000812,0.000812
62,2700.19,1.85431,1.35692,1.85183,0.73747,0.66098,0.73695,0.39543,1.61809,1.18901,1.70936,0.0007922,0.0007922,0.0007922
63,2743.38,1.81828,1.25733,1.82554,0.72523,0.64475,0.7242,0.39124,1.61172,1.1993,1.7076,0.0007724,0.0007724,0.0007724
64,2786.76,1.82185,1.27969,1.8283,0.71955,0.65438,0.73539,0.40366,1.61699,1.16438,1.70378,0.0007526,0.0007526,0.0007526
65,2829.85,1.87073,1.27484,1.78683,0.70831,0.66053,0.72965,0.39494,1.65025,1.1653,1.72443,0.0007328,0.0007328,0.0007328
66,2872.61,1.80825,1.28777,1.82912,0.77503,0.65424,0.75581,0.4081,1.61627,1.14446,1.70123,0.000713,0.000713,0.000713
67,2916.72,1.80862,1.27476,1.79859,0.74013,0.66008,0.73355,0.39407,1.63181,1.16944,1.72118,0.0006932,0.0006932,0.0006932
68,2959.73,1.83883,1.30542,1.8254,0.77106,0.6731,0.76368,0.41625,1.57071,1.15768,1.67754,0.0006734,0.0006734,0.0006734
69,3002.85,1.81416,1.29288,1.81667,0.7585,0.68074,0.75053,0.38972,1.64889,1.17339,1.74041,0.0006536,0.0006536,0.0006536
70,3046.32,1.82151,1.25473,1.77534,0.77423,0.66592,0.76136,0.42288,1.57914,1.10981,1.66747,0.0006338,0.0006338,0.0006338
71,3089.66,1.8088,1.29136,1.80849,0.7714,0.66682,0.77535,0.43147,1.55515,1.10579,1.65055,0.000614,0.000614,0.000614
72,3132.27,1.75603,1.26248,1.76273,0.76666,0.64913,0.74898,0.41898,1.57008,1.10855,1.65878,0.0005942,0.0005942,0.0005942
73,3175.15,1.74467,1.23551,1.74517,0.74759,0.68074,0.76467,0.42261,1.5515,1.10359,1.64841,0.0005744,0.0005744,0.0005744
74,3218.07,1.73842,1.21379,1.76192,0.77591,0.68254,0.77433,0.42915,1.55777,1.11645,1.65209,0.0005546,0.0005546,0.0005546
75,3261.37,1.80471,1.24829,1.7743,0.7847,0.67804,0.77804,0.42714,1.54712,1.09583,1.65636,0.0005348,0.0005348,0.0005348
76,3303.85,1.70444,1.18713,1.75195,0.77524,0.68523,0.7798,0.44361,1.5224,1.07174,1.6216,0.000515,0.000515,0.000515
77,3348.27,1.81314,1.23914,1.71884,0.77695,0.6835,0.77966,0.44578,1.50855,1.07815,1.61618,0.0004952,0.0004952,0.0004952
78,3390.84,1.70808,1.20056,1.74881,0.78014,0.66637,0.77089,0.42177,1.563,1.10315,1.64885,0.0004754,0.0004754,0.0004754
79,3433.76,1.7069,1.19808,1.72166,0.78199,0.70498,0.79551,0.43739,1.56071,1.01798,1.63912,0.0004556,0.0004556,0.0004556
80,3476.91,1.72893,1.1913,1.74363,0.7877,0.68119,0.77527,0.4503,1.50232,1.01425,1.63088,0.0004358,0.0004358,0.0004358
81,3518.68,1.70373,1.147,1.71839,0.78981,0.69825,0.78903,0.45833,1.49252,1.00034,1.60596,0.000416,0.000416,0.000416
82,3561.46,1.70311,1.15894,1.68381,0.78814,0.68792,0.78813,0.44853,1.49049,1.02578,1.60584,0.0003962,0.0003962,0.0003962
83,3604.13,1.69169,1.16039,1.70633,0.77478,0.70592,0.79233,0.45463,1.48838,1.01769,1.60348,0.0003764,0.0003764,0.0003764
84,3646.88,1.7444,1.20524,1.72276,0.78449,0.70139,0.79737,0.46007,1.48189,0.99859,1.59601,0.0003566,0.0003566,0.0003566
85,3690.01,1.72734,1.18172,1.71309,0.7805,0.70572,0.79655,0.46198,1.48156,1.00772,1.60261,0.0003368,0.0003368,0.0003368
86,3733.08,1.68673,1.17162,1.70369,0.78286,0.68966,0.79488,0.45431,1.47857,1.04479,1.59301,0.000317,0.000317,0.000317
87,3776,1.66313,1.16236,1.70338,0.77555,0.71528,0.80113,0.45742,1.48315,1.01912,1.5877,0.0002972,0.0002972,0.0002972
88,3819.03,1.69071,1.17855,1.71636,0.77005,0.70723,0.79016,0.46202,1.46135,0.99461,1.58306,0.0002774,0.0002774,0.0002774
89,3861.38,1.66639,1.11099,1.6864,0.77514,0.7105,0.79191,0.46821,1.44108,0.98709,1.57217,0.0002576,0.0002576,0.0002576
90,3904.34,1.63317,1.15174,1.69068,0.78118,0.72744,0.81141,0.47281,1.44932,0.99899,1.57576,0.0002378,0.0002378,0.0002378
91,3946.08,1.6164,1.28358,1.73222,0.76112,0.70535,0.79943,0.46332,1.4644,1.03346,1.5718,0.000218,0.000218,0.000218
92,3987.99,1.52822,1.15427,1.62958,0.75863,0.71553,0.79932,0.46841,1.45767,1.02824,1.56966,0.0001982,0.0001982,0.0001982
93,4030.08,1.55998,1.15485,1.61268,0.77752,0.70617,0.79773,0.47015,1.45091,1.01764,1.56722,0.0001784,0.0001784,0.0001784
94,4071.64,1.54642,1.1058,1.62903,0.79061,0.70532,0.80634,0.47205,1.44791,0.99033,1.56322,0.0001586,0.0001586,0.0001586
95,4113.49,1.58836,1.08398,1.6218,0.79302,0.71217,0.80994,0.47395,1.43341,0.97354,1.54928,0.0001388,0.0001388,0.0001388
96,4154.95,1.55048,1.07451,1.63346,0.79137,0.70856,0.80885,0.47559,1.42103,0.97748,1.54194,0.000119,0.000119,0.000119
97,4196.91,1.58166,1.08347,1.62288,0.79717,0.70409,0.81139,0.47744,1.42292,0.97447,1.54394,9.92e-05,9.92e-05,9.92e-05
98,4238.4,1.52586,1.08624,1.61117,0.79578,0.70409,0.81397,0.48147,1.41805,0.96953,1.54056,7.94e-05,7.94e-05,7.94e-05
99,4280.4,1.49712,1.07063,1.61724,0.80309,0.70858,0.81731,0.4869,1.40618,0.96655,1.53197,5.96e-05,5.96e-05,5.96e-05
100,4322.65,1.54602,1.0726,1.60219,0.80049,0.71708,0.81852,0.48757,1.39775,0.96966,1.52504,3.98e-05,3.98e-05,3.98e-05
